&FCI NORB = 21, NELEC=22 , MS2=0, 
 ORBSYM=1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
 ISYM=1, 
&END 
  2.6632524866047719E-01    1    1    1    1 
  0.0000000000000000E+00    2    1    1    1 
  7.4371733115387278E-02    2    1    2    1 
  2.2025408762752777E-01    2    2    1    1 
  0.0000000000000000E+00    2    2    2    1 
  2.2327282299452669E-01    2    2    2    2 
  0.0000000000000000E+00    3    1    1    1 
  0.0000000000000000E+00    3    1    2    1 
  0.0000000000000000E+00    3    1    2    2 
  8.5186687144573714E-04    3    1    3    1 
  0.0000000000000000E+00    3    2    1    1 
  0.0000000000000000E+00    3    2    2    1 
  0.0000000000000000E+00    3    2    2    2 
  0.0000000000000000E+00    3    2    3    1 
  8.9061087265275519E-04    3    2    3    2 
  1.6193671615146507E-01    3    3    1    1 
  0.0000000000000000E+00    3    3    2    1 
  1.6148609855892765E-01    3    3    2    2 
  0.0000000000000000E+00    3    3    3    1 
  0.0000000000000000E+00    3    3    3    2 
  1.7612144669640525E-01    3    3    3    3 
  0.0000000000000000E+00    4    1    1    1 
  0.0000000000000000E+00    4    1    2    1 
  0.0000000000000000E+00    4    1    2    2 
  0.0000000000000000E+00    4    1    3    1 
  0.0000000000000000E+00    4    1    3    2 
  0.0000000000000000E+00    4    1    3    3 
  8.8687237750894644E-04    4    1    4    1 
  0.0000000000000000E+00    4    2    1    1 
  0.0000000000000000E+00    4    2    2    1 
  0.0000000000000000E+00    4    2    2    2 
  0.0000000000000000E+00    4    2    3    1 
  0.0000000000000000E+00    4    2    3    2 
  0.0000000000000000E+00    4    2    3    3 
  0.0000000000000000E+00    4    2    4    1 
  9.8310593387829844E-04    4    2    4    2 
  0.0000000000000000E+00    4    3    1    1 
  0.0000000000000000E+00    4    3    2    1 
  0.0000000000000000E+00    4    3    2    2 
  0.0000000000000000E+00    4    3    3    1 
  0.0000000000000000E+00    4    3    3    2 
  0.0000000000000000E+00    4    3    3    3 
  0.0000000000000000E+00    4    3    4    1 
  0.0000000000000000E+00    4    3    4    2 
  5.1684034145415302E-02    4    3    4    3 
  1.5222784778102738E-01    4    4    1    1 
  0.0000000000000000E+00    4    4    2    1 
  1.5571062736911265E-01    4    4    2    2 
  0.0000000000000000E+00    4    4    3    1 
  0.0000000000000000E+00    4    4    3    2 
  1.6290735233597559E-01    4    4    3    3 
  0.0000000000000000E+00    4    4    4    1 
  0.0000000000000000E+00    4    4    4    2 
  0.0000000000000000E+00    4    4    4    3 
  1.6400490969884346E-01    4    4    4    4 
  0.0000000000000000E+00    5    1    1    1 
  0.0000000000000000E+00    5    1    2    1 
  0.0000000000000000E+00    5    1    2    2 
  0.0000000000000000E+00    5    1    3    1 
  6.5567983055121000E-04    5    1    3    2 
  0.0000000000000000E+00    5    1    3    3 
  0.0000000000000000E+00    5    1    4    1 
  0.0000000000000000E+00    5    1    4    2 
